prompt,completion
"What status effects does the Intangir resist?","Darkness, Zombie, Poison, MagiTek, Imp, Petrify, Death"
"What status effects does the Intangir absorb?","Fire, Ice, Lightning, Poison, Wind, Holy, Earth, Water"
"How much HP does the Intangir have?","32000"
"What rage can be learned from the Intangir?","Transfusion"
"What sketch can be drawn from the Intangir?","Traveler (3/4), Sleep (1/4)"
"What abilities can be used while controlling the Intangir?","Attack, Sleep, Transfusion"
"What is the weakness of the Balloon?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Balloon located?","Thamasa (Burning House)"
"What can be stolen from the Balloon?","Phoenix Down (1/8)"
"What is the special attack of the Balloon?","Flare Up (150% damage)"
"What status effects does the Balloon resist?","Imp, Sleep"
"What status effects does the Balloon absorb?","Fire"
"How much HP does the Balloon have?","555"
"What rage can be learned from the Balloon?","Self-Destruct"
"What sketch can be drawn from the Balloon?","Self-Destruct (3/4), Flare Up (1/4)"
"What abilities can be used while controlling the Balloon?","Attack, Flare Up, Self-Destruct"
"What is the Bonnacon known as on the SNES?","Slurm"
"What is the weakness of the Bonnacon?","Zombie, Poison, MagiTek, Petrify, Death, Doom, Critical"
"Where is the Bonnacon located?","Esper Cave (Cave)"
"What can be stolen from the Bonnacon?","Hi-Potion (7/8)"
"What is the special attack of the Bonnacon?","Digestive Fluid (inflicts 'Sap')"
"What status effects does the Bonnacon resist?","Darkness, Invisible, Imp, Image, Silence, Berserk, Confusion"
"How much HP does the Bonnacon have?","505"
"What rage can be learned from the Bonnacon?","Sticky Goo"
"What sketch can be drawn from the Bonnacon?","Attack (3/4), Digestive Fluid (1/4)"
"What abilities can be used while controlling the Bonnacon?","Attack, Digestive Fluid, Magnitude 8, Quake"
"What is the Land Grillon known as on the SNES?","Insecare"
"What is the weakness of the Land Grillon?","Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Berserk, Sap, Slow, Stop"
"Where is the Land Grillon located?","Esper Caves (Slopes)"
"What does the Land Grillon drop?","Smoke Bomb (1/8)"
"What can be stolen from the Land Grillon?","Echo Screen (7/8)"
"What is the special attack of the Land Grillon?","Wing Snap (inflicts 'Berserk')"
"What status effects does the Land Grillon resist?","Darkness, Imp, Silence, Confusion, Sleep"
"How much HP does the Land Grillon have?","977"
"What rage can be learned from the Land Grillon?","Wing Snap"
"What sketch can be drawn from the Land Grillon?","Attack (3/4), Wing Snap (1/4)"
"What abilities can be used while controlling the Land Grillon?","Attack, Wing Snap"
"What is the Adamankary known as on the SNES?","Adamanchyt"
"What is the weakness of the Adamankary?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Image, Silence, Berserk, Sap, Sleep, Slow, Stop"
"Where is the Adamankary located?","Esper Cave (Cave)"
"What can be stolen from the Adamankary?","Golden Shield (1/8)"
"What is the special attack of the Adamankary?","Claw (150% damage)"
"What status effects does the Adamankary resist?","Petrify, Death, Doom, Critical, Confusion"
"How much HP does the Adamankary have?","1305"
"What rage can be learned from the Adamankary?","Acid Rain"
"What sketch can be drawn from the Adamankary?","Blaster (3/4), Claw (1/4)"
"What abilities can be used while controlling the Adamankary?","Attack, Claw, Acid Rain"
"What is the weakness of the Mandrake?","Zombie, MagiTek, Critical, Sap, Slow, Stop"
"Where is the Mandrake located?","Esper Caves (Slopes)"
"What does the Mandrake drop?","Remedy (1/8)"
"What can be stolen from the Mandrake?","Hi-Potion (Always)"
"What is the special attack of the Mandrake?","Stonetouch (inflicts 'Petrify')"
"What status effects does the Mandrake resist?","Darkness, Poison, Invisible, Imp, Petrify, Death, Doom"
"What status effects does the Mandrake absorb?","Water"
"How much HP does the Mandrake have?","1150"
"What rage can be learned from the Mandrake?","Leech"
"What sketch can be drawn from the Mandrake?","Leech (3/4), Stonetouch (1/4)"
"What abilities can be used while controlling the Mandrake?","Attack, Stonetouch, Leech"
"What is the Venobennu known as on the SNES?","Abolisher"
"What is the weakness of the Venobennu?","Darkness, Zombie, Poison, MagiTek, Invisible, Death, Doom, Critical, Image, Berserk, Confusion, Sap, Slow, Stop"
"Where is the Venobennu located?","Esper Caves (Slopes)"
"What does the Venobennu drop?","Phoenix Down (1/8)"
"What can be stolen from the Venobennu?","Antidote (7/8)"
"What is the special attack of the Venobennu?","Featherdust (inflicts 'Poison')"
"What status effects does the Venobennu resist?","Imp, Petrify, Silence, Sleep"
"How much HP does the Venobennu have?","860"
"What rage can be learned from the Venobennu?","Poison"
"What sketch can be drawn from the Venobennu?","Poison (3/4), Featherdust (1/4)"
"What abilities can be used while controlling the Venobennu?","Attack, Featherdust, Poison"
"What is the weakness of the Sky Armor?","Darkness, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sleep, Slow, Stop"
"Where is the Sky Armor located?","Airship (During flight to Floating Continent)"
"What can be stolen from the Sky Armor?","Ether (7/8)"
"What is the special attack of the Sky Armor?","Reverse Thruster (inflicts 'Silence')"
"What status effects does the Sky Armor resist?","Zombie, Poison, MagiTek, Imp, Petrify, Sap"
"How much HP does the Sky Armor have?","900"
"What rage can be learned from the Sky Armor?","Magitek Laser"
"What sketch can be drawn from the Sky Armor?","Magitek Laser (3/4), Reverse Thruster (1/4)"
"What abilities can be used while controlling the Sky Armor?","Attack, Reverse Thruster, Magitek Laser"
"What is the Spitfire known as on the SNES?","Spit Fire"
"What is the weakness of the Spitfire?","Darkness, Invisible, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sleep"
"Where is the Spitfire located?","Airship (During flight to Floating Continent)"
"What does the Spitfire drop?","Ether (1/8)"
"What can be stolen from the Spitfire?","Ether (7/8), Elixir (1/8)"
"What is the special attack of the Spitfire?","Propeller (150% damage)"
"What status effects does the Spitfire resist?","Zombie, Poison, MagiTek, Imp, Petrify, Sap, Slow"
"How much HP does the Spitfire have?","1400"
"What rage can be learned from the Spitfire?","Magitek Laser"
"What sketch can be drawn from the Spitfire?","Magitek Laser (3/4), Propeller (1/4)"
"What abilities can be used while controlling the Spitfire?","Attack, Propeller, Magitek Laser, Scintillation"
"What is the weakness of the Brainpan?","MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Brainpan located?","Floating Continent"
"What can be stolen from the Brainpan?","Earring (1/8)"
"What type of monster is the Brainpan?","Undead"
"What is the special attack of the Brainpan?","Smirk (inflicts 'Stop')"
"What status effects does the Brainpan resist?","Darkness, Zombie, Poison, Imp, Silence, Berserk, Sleep"
"What status effects does the Brainpan absorb?","Poison"
"How much HP does the Brainpan have?","1300"
"What rage can be learned from the Brainpan?","1000 Needles"
"What sketch can be drawn from the Brainpan?","1000 Needles (3/4), Smirk (1/4)"
"What abilities can be used while controlling the Brainpan?","Attack, Smirk, 1000 Needles"
"What is the weakness of the Misfit?","MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Confusion, Sap, Slow, Stop"
"Where is the Misfit located?","Floating Continent"
"What can be stolen from the Misfit?","Alarm Earring (1/8)"
"What type of monster is the Misfit?","Undead"
"What is the special attack of the Misfit?","Enmity (inflicts 'Darkness')"
"What status effects does the Misfit resist?","Darkness, Zombie, Poison, Imp, Silence, Berserk, Sleep"
"What status effects does the Misfit absorb?","Poison"
"How much HP does the Misfit have?","1750"
"What rage can be learned from the Misfit?","Lifeshaver"
"What sketch can be drawn from the Misfit?","Lifeshaver (3/4), Enmity (1/4)"
"What abilities can be used while controlling the Misfit?","Attack, Enmity, Lifeshaver"
"What is the Apocrypha known as on the SNES?","Apokryphos"
"What is the weakness of the Apocrypha?","Darkness, MagiTek, Invisible, Petrify, Death, Image, Silence, Sap, Sleep, Slow, Stop"
"Where is the Apocrypha located?","Floating Continent"
"What can be stolen from the Apocrypha?","Angel Ring (1/8)"
"What is the special attack of the Apocrypha?","Silencing Touch (inflicts 'Silence')"
"What status effects does the Apocrypha resist?","Zombie, Poison, Imp, Doom, Critical, Berserk, Confusion"
"How much HP does the Apocrypha have?","1900"
"What rage can be learned from the Apocrypha?","Lv.3 Confuse"
"What sketch can be drawn from the Apocrypha?","Lv. 3 Confuse (3/4), Silencing Touch (1/4)"
"What abilities can be used while controlling the Apocrypha?","Attack, Silencing Touch, Lv. 3 Confuse, Lv. 4 Flare"
"What is the weakness of the Dragon?","Darkness, Zombie, Poison, MagiTek, Invisible, Image, Sleep, Slow, Stop"
"Where is the Dragon located?","Floating Continent"
"What can be stolen from the Dragon?","Hi-Potion (7/8), Genji Glove (1/8)"
"What is the special attack of the Dragon?","Tail (500% damage)"
"What status effects does the Dragon resist?","Imp, Petrify, Death, Doom, Critical, Silence, Berserk"
"How much HP does the Dragon have?","7000"
"What rage can be learned from the Dragon?","Revenge Blast"
"What sketch can be drawn from the Dragon?","Revenge Blast (3/4), Tail (1/4)"
"What abilities can be used while controlling the Dragon?","Attack, Tail, Revenge Blast, Snowstorm"
"What is the Platinum Dragon known as on the SNES?","Wirey Drgn"
"What is the weakness of the Platinum Dragon?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Platinum Dragon located?","Floating Continent"
"What can be stolen from the Platinum Dragon?","Dragoon Boots (1/8)"
"What is the special attack of the Platinum Dragon?","Wing (200% damage)"
"What status effects does the Platinum Dragon resist?","Imp"
"How much HP does the Platinum Dragon have?","2802"
"What rage can be learned from the Platinum Dragon?","Cyclonic"
"What sketch can be drawn from the Platinum Dragon?","Cyclonic (3/4), Wing (1/4)"
"What abilities can be used while controlling the Platinum Dragon?","Attack, Wing, Cyclonic"
"What is the weakness of the Behemoth?","Zombie, MagiTek, Invisible, Petrify, Death, Critical, Image, Berserk, Sap"
"Where is the Behemoth located?","Floating Continent"
"What does the Behemoth drop?","X-Potion (1/8)"
"What can be stolen from the Behemoth?","Hermes Sandals (1/8)"
"What is the special attack of the Behemoth?","Beatdown (300% damage)"
"What status effects does the Behemoth resist?","Darkness, Poison, Imp, Doom, Silence, Confusion, Sleep"
"How much HP does the Behemoth have?","5800"
"What rage can be learned from the Behemoth?","Meteor"
"What sketch can be drawn from the Behemoth?","Meteor (3/4), Beatdown (1/4)"
"What abilities can be used while controlling the Behemoth?","Attack, Beatdown, Meteor, Firaga"
"What is the weakness of the Ninja?","Zombie, Poison, MagiTek, Invisible, Imp, Death, Doom, Image, Silence, Berserk"
"Where is the Ninja located?","Cave to the Sealed Gate (B3F, Hit Right switch) Floating Continent"
"What does the Ninja drop?","Fuma Shuriken (1/8)"
"What can be stolen from the Ninja?","Angel Wings (1/8)"
"What type of monster is the Ninja?","Humanoid"
"What is the special attack of the Ninja?","Stealth (unblockable; bestows 'Invisible')"
"What status effects does the Ninja resist?","Darkness, Petrify, Critical, Confusion, Sap, Sleep, Slow"
"What status effects does the Ninja absorb?","Poison"
"How much HP does the Ninja have?","1650"
"What rage can be learned from the Ninja?","Water Scroll"
"What sketch can be drawn from the Ninja?","Water Scroll (3/4), Flame Scroll (1/4)"
"What abilities can be used while controlling the Ninja?","Attack, Flame Scroll, Water Scroll, Lightning Scroll"
"What is the Naude known as on the SNES?","Naughty"
"What is the weakness of the Naude?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Silence, Sleep"
"Where is the Naude located?","Floating Continent (While trying to escape)"
"What type of monster is the Naude?","Humanoid"
"What is the special attack of the Naude?","Hit (200% damage)"
"What status effects does the Naude resist?","Death, Doom, Critical, Image, Berserk, Confusion, Sap"
"What status effects does the Naude absorb?","Ice"
"How much HP does the Naude have?","3000"
"What sketch can be drawn from the Naude?","Attack (3/4), Hit (1/4)"
"What abilities can be used while controlling the Naude?","Attack, Hit"
"What elements does the Naude resist?","Poison, Wind, Earth, Water"
"What is the Fafnir known as on the SNES?","Mesosaur"
"What is the weakness of the Fafnir?","Darkness, Zombie, Poison, MagiTek, Invisible, Imp, Petrify, Death, Doom, Critical, Image, Silence, Berserk, Confusion, Sap, Sleep, Slow, Stop"
"Where is the Fafnir located?","Southern Continent (Grass) [WoR]"
"What can be stolen from the Fafnir?","Antidote (7/8)"
"What is the special attack of the Fafnir?","Tongue Lash (inflicts 'Sap')"
"How much HP does the Fafnir have?","1112"
"What rage can be learned from the Fafnir?","Traveler"
"What sketch can be drawn from the Fafnir?","Traveler (3/4), Tongue Lash (1/4)"
"What abilities can be used while controlling the Fafnir?","Attack, Tongue Lash, Traveler"
"What is the Killer Mantis known as on the SNES?","Gilomantis"
"What is the weakness of the Killer Mantis?","Darkness, Zombie, Poison, MagiTek, Invisible, Petrify, Critical, Image, Silence, Berserk, Sap, Slow, Stop"
"Where is the Killer Mantis located?","Southern Continent (Grass/Forest) [WoR]"
"What can be stolen from the Killer Mantis?","Venom Claws (1/8)"
"What is the special attack of the Killer Mantis?","Kama (150% damage)"
"What status effects does the Killer Mantis resist?","Imp, Death, Doom, Confusion, Sleep"
